task,model,model_size,learning_rate,ffn_dropout,mean,std
pcq,ET,50M,0.0001,0.0,0.12309017293155189,0.022882248439958466
pcq,GDT,50M,0.0002,0.0,0.1492085345089435,0.030519896117649162
pcq,LWL,50M,0.0001,0.0,0.17964187487959857,0.02829769090045742
flow,GDT,50M,0.0002,0.0,0.09704093728214498,0.04305115692984725
flow,ET,50M,0.0001,0.0,0.021512154303491068,0.010954035170754947
flow,LWL,50M,0.0001,0.0,0.20255563519895073,0.11542296763181843
bridges,ET,50M,0.0001,0.0,1.0,0.0
bridges,GDT,50M,0.0002,0.0,0.9999976265232716,7.305394559290176e-06
bridges,LWL,50M,0.0002,0.1,0.9999638069263549,5.589815239746402e-05
coco,LWL,50M,0.0002,0.1,0.08193115784860654,0.06416427145759096
coco,GDT,50M,0.0002,0.0,0.07346548897083752,0.06703604340192743
